,training_noun_phrases,skill_set_bool
280,u,0
281,leader,0
282,team,0
283,knowledge,1
284,line,0
285,target customer segment,0
286,base,0
287,advise,0
288,campaign,0
289,term,0
290,business,0
291,lens offer,0
292,performance,1
293,initiative,0
294,recommendation,0
295,improvement,0
296,segmentation,0
297,targeted communication,1
298,service,0
299,product,0
300,channel,0
301,marketing,0
302,legal team,0
303,third party,0
304,new proposition,0
305,insurance product,0
306,extended warrantyperformance measurement,0
307,information,0
308,key segment,0
309,key marketing activity,0
310,level,0
311,central local team,0
312,area,0
313,opportunity,0
314,data strategy,1
315,db management,1
316,define business technical requirement,0
317,analytics capability,0
318,data strategy,1
319,governance,0
320,cleaning,0
321,data augmentation,1
322,capture,0
323,event,0
324,prospect management,1
325,crm data analyst role,1
326,retail ecommerce,0
327,telco utility finance sector loyalty experience,0
328,advantagethrive,0
329,targeting audience selection,0
330,knowledge,1
331,salesforce,1
332,analytical software,0
333,excel,1
334,sa,0
335,reporting tool,1
336,data studio,1
337,google analytics,0
338,detailhave experience,0
339,data strategy,1
340,commercial benefitenjoy stakeholder management,1
341,cross functional team,0
342,creative thinker,1
343,problem solver,0
344,excellent planning organisational time management skill,1
345,ability,0
346,tight deadline,0
347,proven ability,0
348,multiple campaign,0
349,stakeholder,0
350,area,0
351,effective resourceful approach,0
352,new idea,0
353,thing,0
354,competitive salary,0
355,bonus scheme,0
356,day holiday,0
357,bank holiday,0
358,db pension scheme,0
359,life cover,0
360,private health care,0
361,plus access,0
362,many lifestyle benefit,0
363,job category,0
364,marketingjob level,0
365,uxbridge,0
366,summary,0
367,global client,0
368,crm data analyst,1
369,relationship,0
370,consumer,0
371,base,0
372,marketing opportunity,0
373,service,0
374,organization ability,0
375,decisionmaking customer,0
376,prosumer,0
377,curious minded crm data analyst,1
378,great team,0
379,ability,0
380,world class crm platform,1
381,similar platform,0
382,advantage,0
383,encouragement,0
384,people,0
385,ambition,0
386,u,0
387,leader,0
388,freedom,0
389,new thing,0
390,knowledge,1
391,crm data analyst,1
392,business case,0
393,lens offer,0
394,promotion accessory campaign,0
395,campaign,0
396,customer base insight generation opportunity identification,1
397,segmentation,0
398,data mining,1
399,opportunity,0
400,service,0
401,liaison,0
402,product,0
403,third party,0
404,new proposition,0
405,business case,0
406,extended warrantyperformance measurement,0
407,reporting,1
408,key segment,0
409,key marketing activity,0
410,level,0
411,base engagement,0
412,area,0
413,data strategy,1
414,capture,0
415,define business technical requirement,0
416,analytics capability,0
417,data strategy,1
418,governance,0
419,cleaning,0
420,data augmentation,1
421,event,0
422,crm data analyst role,1
423,strong understanding,0
424,crm data planning data query management,1
425,telco utility finance sector loyalty experience,0
426,advantagethrive,0
427,knowledge,1
428,crm software,1
429,microsoft dynamic,1
430,excel,1
431,sa,0
432,reporting tool,1
433,data studio,1
434,fantastic attention,0
435,data strategy,1
436,excellent planning organisational time management skill,1
437,pressure,0
438,tight deadline,0
439,proven ability,0
440,multiple campaign,0
441,detail,0
442,area,0
443,issue,0
444,andor way,0
445,day holiday,0
446,staff purchase scheme,0
447,private health care,0
448,many lifestyle benefit,0
449,data analyst,1
450,leading football charity,0
451,reporting sql,1
452,london,0
453,experience,0
454,real difference,0
455,community football,0
456,company,0
457,charity,0
458,fa,0
459,premier league,0
460,sport england,0
461,grassroots football,0
462,present,0
463,change,0
464,community football,0
465,improved pitch,0
466,turn,0
467,football,0
468,disadvantage,0
469,personal circumstance,0
470,successful data analyst,1
471,vital role,0
472,strategic decision making,1
473,following,0
474,investment planning performance work,1
475,finance team,0
476,accurate budget commitment pipeline project,1
477,software,0
478,tool,1
479,relevant database,1
480,experience,0
481,following skill,0
482,reporting tool,1
483,solid understanding,0
484,key principle,0
485,database management,1
486,benefit,0
487,successful data analyst,1
488,access,0
489,additional perk,0
490,interest,0
491,cv,0
492,page,0
493,client,0
494,longest standing member,0
495,london stock exchange,0
496,uk,0
497,data quality analyst,1
498,passion,0
499,thing,0
500,talented professional,0
501,great opportunity,0
502,role,0
503,data quality analyst,1
504,data governance framework,1
505,regulatory statuary obligation,0
506,quality,0
507,integrity,0
508,data,1
509,tactical strategic perspective,0
510,data,1
511,role responsibility,0
512,advocate,0
513,champion good data governance,1
514,wider business,0
515,data governance framework,1
516,strategy,0
517,troubleshoot quality issue,0
518,root,0
519,analysis,1
520,remediation,0
521,categorisation,0
522,data source,1
523,structure,0
524,implementation,0
525,data quality metric,1
526,rule,0
527,data quality,1
528,monitoring tracking regime,0
529,quality issue,0
530,continuous improvement mindset,0
531,design,0
532,data management standard,1
533,policy,0
534,procedure,0
535,strategy,0
536,root,0
537,analysis,1
538,master data,1
539,truth,0
540,enterprise architecture team,0
541,data flow,1
542,integration point,1
543,effective data governance,1
544,ownership,0
545,key stakeholder,0
546,subject matter assistance,0
547,business analystssolutions architect,0
548,definition,0
549,proficiency,0
550,sharepoint,0
551,m dynamic,0
552,ibm powercloud,0
553,query skill,0
554,sqldb,1
555,etl,1
556,scripting language,1
557,powershell,1
558,application programming interface,1
559,power bi,1
560,cloudbased service,0
561,environment,0
562,understanding,0
563,database design,1
564,erds,0
565,relational database management system,1
566,logical data model,1
567,data dictionary,1
568,ssis,1
569,ssa,0
570,familiarity,0
571,data streaming technology,1
572,detail,0
573,statistical analytical tool,1
574,package,0
575,solid understanding,0
576,data,1
577,mining,1
578,bachelor degree,0
579,statistic,0
580,computer science,1
581,information management,1
582,relevant vocational data management,1
583,experience,0
584,data layerswarehouseslakes,1
585,automation,1
586,emerging data science technology,1
587,prior experience,0
588,data governancequality role,1
589,practical knowledge,1
590,data quality analyst,1
591,application,0
592,position,0
593,applicant,0
594,interview,0
595,employment agency,0
596,equal opportunity organisation,0
597,information,0
598,privacy notice,0
599,httpproactiveitprivacynotice,0
600,hr data analyst,1
601,client bae system,0
602,long term contract,0
603,jobholder,0
604,wide range,0
605,key hr indicator,0
606,data,1
607,improvement,0
608,creates,0
609,presentation,1
610,role holder,0
611,ownership,0
612,accurate production,0
613,required report,1
614,timescales,0
615,maintains,0
616,existing master data source,1
617,relevant system reporting owner,1
618,current future business requirement,0
619,act,0
620,key stakeholder,0
621,accuracy,0
622,data input,1
623,template,0
624,standardisation,0
625,analysis,1
626,report,1
627,expertise,0
628,data,1
629,various people data system,1
630,sme,0
631,key messaging,0
632,key stakeholder,0
633,maintains,0
634,data management activity,1
635,line,0
636,business project requirement,0
637,timely delivery,1
638,continuous improvement activity,0
639,analysis,1
640,ensures functional compliance,0
641,knowledge,1
642,strong communication skill,1
643,ability,0
644,key message,0
645,workload,0
646,work,0
647,team,0
648,wide range,0
649,stakeholder,0
650,productive relationship,0
651,desire,0
652,hr function,0
653,wider range,0
654,activity,0
655,strong ability,0
656,analytical operational focus,0
657,system strong project management skill,1
658,ability,0
659,report framework delivery,1
660,gather,0
661,review,0
662,rich information,0
663,effective business decision,1
664,fast paced project environment,0
665,data analysis,1
666,ability,0
667,employment practice,0
668,tu relationship,0
669,order,0
670,skill,0
671,word,0
672,powerpoint,1
673,strong skill,0
674,tableau,1
675,microsoft bi,1
676,excel,1
677,advanced knowledge,1
678,microsoft excel data manipulation,1
679,excellent data presentation,1
680,requirement,0
681,eye,0
682,advantageous experience,0
683,data warehouse technology,1
684,relevant data analysis experience,1
685,relevant data quality data governance experience,1
686,morson,0
687,employment business,0
688,vacancy,0
689,data analyst,1
690,data management,1
691,data manipulation,1
692,data extraction,1
693,sap,0
694,advanced excel,1
695,datasets,1
696,hr data,1
697,hr reporting,1
698,great opportunity,0
699,procurement data analyst,1
700,north yorkshire area,0
701,remote working part,0
702,week,0
703,brand new position,0
704,internal data procurement project,1
705,experience,0
706,excellent analytical skill,0
707,interpretation,0
708,data,1
709,reportingknowledge,0
710,ability,0
711,varied systemsexperience,0
712,data cleansing,1
713,analysis,1
714,reconciliationexperience,0
715,timeclear,0
716,mannera passion,0
717,skill capabilitiesmicrosoft office skill,0
718,advanced m excel skillsexperience,1
719,microsoft power bi reporting dashboard development ideal,1
720,analysis,1
721,data set,1
722,basic complexsupport procurement department analytics team,0
723,accurate timely information,0
724,analytical business support,0
725,commercial guidance,0
726,modelling,1
727,financial nonfinancial data,1
728,trend,0
729,correlation,0
730,statistical information,0
731,business decision,1
732,analytics team,0
733,engage,0
734,internal external stakeholder,0
735,class data solution,1
736,tailored insight,1
737,successprovide adhoc analysis project support,1
738,company,0
739,part,0
740,global group,0
741,data,1
742,multichannel approach,0
743,range,0
744,period,0
745,nature,0
746,role,0
747,successful candidate,0
748,workhome balance,0
749,return,0
750,salary,0
751,bonus,0
752,company personalexcellent career prospect,0
753,grows,0
754,youa competitive salary day holidayspension scheme,0
755,probationary period,0
756,opportunity,0
757,project,0
758,apply button,0
759,similar role,0
760,dan,0
761,call,0
762,senior data privacy analyst recruitment agency reference,1
763,birmingham,0
764,k k,0
765,annum,0
766,client,0
767,operation,0
768,mities subject access request privacy incident process,0
769,existing data privacy team,1
770,key role,0
771,monitoring,0
772,commitment,0
773,regulation,0
774,allocation,0
775,data privacy analyst,1
776,request,0
777,personal information,0
778,log subject access request,0
779,accurate statistic,0
780,data privacy analyst,1
781,subject access request,0
782,assessment,0
783,response,0
784,data security incident identify process,1
785,implementation,0
786,respond,0
787,central privacy mailbox,0
788,data privacy manager,1
789,data privacy operation,1
790,data subject access request,1
791,data breach,1
792,complete data privacy impact assessment,1
793,successful candidate,0
794,excellent knowledge,1
795,tool,1
796,function,0
797,depth,0
798,data protection law,1
799,delivery,1
800,system,0
801,service,0
802,pecr,0
803,experience,0
804,data privacy incident,1
805,general privacy request,0
806,position,0
807,similar role,0
808,equal opportunity employment business employment agency,0
809,candidate,0
810,sf recruitment,0
811,nottingham,0
812,purpose,0
813,area,0
814,uk business,0
815,business performance,1
816,focus,0
817,element,0
818,business,0
819,improvement,0
820,area,0
821,subsequent monitoring,0
822,implementation,0
823,focused intelligent analysis,1
824,responsibility,0
825,business performance,1
826,business identify deviation,0
827,expected performance,1
828,pricing,0
829,concession,0
830,business performance,1
831,u based accounting management information system mi team,1
832,develop,0
833,pricing,0
834,promotion,0
835,performance,1
836,initiative,0
837,recommendation,0
838,improvement,0
839,promotion,0
840,performance,1
841,insider loyalty program,0
842,continual recommendation,0
843,improvement,0
844,working hour,0
845,monday,0
846,friday,0
847,pm,0
848,salary,0
849,role,0
850,manchester,0
851,covid restriction adria solution ltd,0
852,exciting opportunity,0
853,successful client,0
854,candidate,0
855,excellent communication skill,1
856,teamyou,0
857,growing company,0
858,benefit,0
859,successful commercial data analyst,1
860,hourson site gymbrand new office,0
861,position,0
862,delay,0
863,cv,0
864,month contract,0
865,kind,0
866,normality,0
867,something,0
868,technical analyst role,0
869,small friendly team,0
870,production,0
871,analysis,1
872,management information,1
873,business,0
874,customer,0
875,risk,0
876,role,0
877,numerous internal external customer,0
878,result,0
879,strong excel skill,1
880,advanced reporting analytical duty,1
881,ability,0
882,confidence,0
883,technical knowledge,1
884,risk,0
885,credit limit,0
886,policy,0
887,relevant system,0
888,business,0
889,finished article,0
890,plenty,0
891,wide salary range,0
892,first step,0
893,analytical career,0
894,role,0
895,level,0
896,department,0
897,initial job,0
898,month contract,0
899,something,0
900,promise,0
901,home,0
902,full support,0
903,office,0
904,thought,0
905,boris,0
906,paul,0
907,extensive experience,0
908,data modelling,1
909,hugely respected digital platform,0
910,thames,0
911,day,0
912,report,1
913,performance,1
914,data digital channel,1
915,brilliant opportunity,0
916,data insight analyst,1
917,career,0
918,lead,0
919,department,0
920,data insight analyst,1
921,worthwhile cause,0
922,community,0
923,real difference,0
924,lead,0
925,recommendation,0
926,analyst,0
927,sql,1
928,google analytics,0
929,skill,0
930,data insight analyst,1
931,experience,0
932,sql,1
933,furtherunderstanding,0
934,customer,0
935,google analytics,0
936,ability,0
937,stakeholdersa passion,0
938,salary,0
939,hour,0
940,market leading pension,0
941,amazing working environment,0
942,location,0
943,flexible office space,0
944,thames,0
945,immediate consideration,0
946,recruitment,0
947,home based data reporting analyst,1
948,global insurance company,0
949,role,0
950,working,0
951,offer,0
952,bonus,0
953,day annual leave,0
954,many benefit,0
955,large global firm,0
956,day,0
957,duty,0
958,insurance team,0
959,area,0
960,underwriting,0
961,claim,0
962,finance,0
963,actuary,0
964,data reporting requirement business analysis,1
965,requirement,0
966,gathering driving data quality,1
967,business interface,0
968,data request effective reporting,1
969,kpi metric,0
970,data quality,1
971,gap analysis building dashboard,1
972,following skill,0
973,experience,0
974,insurance sector,0
975,ability,0
976,data mi reporting excel,1
977,sql,1
978,qlikview experience,1
979,ability,0
980,quality data visualisation,1
981,data reporting analyst finance type,1
982,contract salary,0
983,day,0
984,initially ir,0
985,start date,0
986,finance data reporting analyst,1
987,covid,0
988,occasional travel,0
989,near future,0
990,demonstrable experience,0
991,finance data reporting analyst,1
992,skill required technical,0
993,role,0
994,data reporting analyst,1
995,finance system,0
996,finance,0
997,project,0
998,role,0
999,financeaccountancy background,0
1000,itanalytic space,0
1001,detail,0
1002,finance system,0
1003,complete financial reconciliation,0
1004,planned data migration,1
1005,project,0
1006,support test script preparation,0
1007,finance module,0
1008,new oracle,0
1009,data,1
1010,existing system,0
1011,new core platform,0
1012,functional integration testing,1
1013,implementation,0
1014,transition,0
1015,business,0
1016,skill,0
1017,erp system,0
1018,process,0
1019,financial control,0
1020,governance framework,0
1021,stakeholder,0
1022,level,0
1023,experience,0
1024,qualified partqualified general accounting experience,0
1025,system change,0
1026,new system implementation,0
1027,experience,0
1028,large quantity,0
1029,data,1
1030,high attention,0
1031,financial reconciliation,0
1032,ability,0
1033,m office suite,0
1034,advanced excel skill,1
1035,touch,0
1036,intelligent resource,0
1037,disability confident recruiter,0
1038,ridi business disability forum partner organisation,0
1039,role,0
1040,website,0
1041,graduate data analyst,1
1042,london,0
1043,company,0
1044,graduate data analyst,1
1045,ambitious talented data analyst team,1
1046,graduate data analyst,1
1047,various online platform,0
1048,programming language,1
1049,job,0
1050,pulling report,1
1051,online data,1
1052,different team,0
1053,degree,0
1054,mathematics,0
1055,statistic,0
1056,large set,0
1057,dataproficient excel skill,1
1058,bonusa real passion,0
1059,uk,0
1060,apply,0
1061,role,0
1062,u,0
1063,cv,0
1064,candidate,0
1065,charlotte welman,0
1066,sphere digital recruitment,0
1067,touch,0
1068,u,0
1069,look,0
1070,website,0
1071,sphere,0
1072,equal opportunity employer,0
1073,ethnic origin,0
1074,race,0
1075,protected status,0
1076,applicable law,0
1077,sphere digital recruitment,0
1078,specialist,0
1079,marketing,0
1080,sale,0
1081,analytics,0
1082,product,0
1083,talent,0
1084,salary,0
1085,pm,0
1086,flexible working request,0
1087,london,0
1088,average day,0
1089,application,0
1090,detailed information,0
1091,packsdata specialist candidate packdata migration specialist candidate packare,0
1092,selfmotivated sharp minded individual,0
1093,exciting time,0
1094,cancer research uk,0
1095,programme,0
1096,staff,0
1097,class data offering,1
1098,data specialist,1
1099,role,0
1100,data migration,1
1101,data expertise,1
1102,advice,0
1103,problem,0
1104,technical team,0
1105,solution,0
1106,confident communicator,0
1107,stakeholder,0
1108,development background,1
1109,good communication,1
1110,hybrid technicalbusiness role,0
1111,data structure,1
1112,type,0
1113,data,1
1114,business intelligence,0
1115,leading delivery,1
1116,data solution,1
1117,management,1
1118,data risk,1
1119,business analyst,0
1120,data flow,1
1121,data team,1
1122,charity,0
1123,data application,1
1124,scripting language,1
1125,relevant experience,0
1126,data governance,1
1127,andor data quality,1
1128,significant experience,0
1129,ability,0
1130,day,0
1131,awardwinning team,0
1132,exciting range,0
1133,different project,0
1134,competitive pension scheme,0
1135,brilliant learning development environment,1
1136,range,0
1137,generous reward,0
1138,reward platform,0
1139,optimism,0
1140,success,0
1141,dynamic environment,0
1142,life,0
1143,work,0
1144,job,0
1145,data analyst,1
1146,office,0
1147,pay rate,0
1148,umbrellastart date,0
1149,asap,0
1150,duration,0
1151,ir status,0
1152,role,0
1153,interpretation,0
1154,qualitative quantitative business intelligence,0
1155,department,0
1156,data quality,1
1157,department,0
1158,carer survey task,0
1159,responsibility,0
1160,discrepancy,0
1161,range,0
1162,delivery,1
1163,local national reporting requirement,1
1164,webbased business intelligence tool,1
1165,application,0
1166,business object,0
1167,data,1
1168,data quality,1
1169,annual dept,0
1170,health user,0
1171,webbased business intelligence tool,1
1172,application,0
1173,adult social care,0
1174,successful candidate,0
1175,adecco,0
1176,employment agency,0
1177,permanent recruitment,0
1178,employment business,0
1179,temporary worker,0
1180,ireland,0
1181,role,0
1182,fantastic opportunity,0
1183,data analyst,1
1184,store support centrehead office,0
1185,speke,0
1186,vital report,1
1187,purpose,0
1188,positive change,0
1189,business,0
1190,data analyst,1
1191,summarise,0
1192,data,1
1193,prescribed time,0
1194,framesrecommend corrective action,0
1195,complex data,1
1196,easy,0
1197,presentation,1
1198,creative way,0
1199,eye,0
1200,work force management,1
1201,date,0
1202,comfortable communicator,0
1203,retail sector,0
1204,high pace environment,0
1205,following quality,0
1206,data,1
1207,complex report,1
1208,presentationsdisplay complex data,1
1209,detail,0
1210,problem,0
1211,skillsgood communication skill,1
1212,levelstime management,1
1213,deadline,0
1214,advantageretail experience,0
1215,new challenge,0
1216,ambitious growing business,0
1217,equal opportunity employer,0
1218,inclusive diverse environment,0
1219,month contract,0
1220,prestigious project,0
1221,global data organisation,1
1222,home based role,0
1223,uk,0
1224,nature,0
1225,day rate,0
1226,day,0
1227,equipment,0
1228,test phase,0
1229,major project,0
1230,test phase,0
1231,data,1
1232,report format,1
1233,general administration,0
1234,report,1
1235,advanced excel skill,1
1236,test manager,0
1237,business,0
1238,defect daily report,1
1239,action,0
1240,meeting,0
1241,experience,0
1242,project administration,0
1243,data report writing,1
1244,role,0
1245,role,0
1246,project administrator,0
1247,data analyst,1
1248,data administrator,1
1249,data,1
1250,world,0
1251,love,0
1252,trend,0
1253,client,0
1254,food,0
1255,design,0
1256,delivery,1
1257,phenomenal growth,0
1258,entrepreneurial spirit,0
1259,hard work,0
1260,lot,0
1261,one,0
1262,newly created role,0
1263,existing business,0
1264,understanding,0
1265,research,0
1266,reporting,1
1267,excel,1
1268,topic,0
1269,entrepreneurial team,0
1270,knowledge,1
1271,member,0
1272,contributory pension scheme,0
1273,bupa private healthcare scheme,0
1274,officebased role,0
1275,oxfordshire,0
1276,linkedin,0
1277,anyone,0
1278,diversity,0
1279,applicant,0
1280,response,0
1281,mistake,0
1282,cv,0
1283,opportunity,0
1284,detail,0
1285,data analyst fantastic opportunity,1
1286,global ecommerce business,0
1287,exceptional growth,0
1288,last month,0
1289,nearly,0
1290,someone,0
1291,strong background,0
1292,key part,0
1293,company growth,0
1294,exciting bit,0
1295,company,0
1296,phenomenal growth,0
1297,last month,0
1298,upward curvetheyve,0
1299,customer base increase,0
1300,full advantage,0
1301,incredible successopportunity,0
1302,success,0
1303,key insightscompany,0
1304,techstack,0
1305,full access,0
1306,tableau,1
1307,role,0
1308,reporting,1
1309,performance marketing,1
1310,customer,0
1311,key digital channel,0
1312,instagram,0
1313,google kelkoo etctranslate data,1
1314,efficiency improvement,0
1315,fuel learning,1
1316,clear reporting,1
1317,customer,0
1318,insightpresent data,1
1319,clear concise way,0
1320,quantitative fieldexpert skill,0
1321,excel,1
1322,year experience,0
1323,business environment,0
1324,agency,0
1325,role,0
1326,cv,0
1327,u,0
1328,candidate,0
1329,tom gould senior consultant,0
1330,sphere digital recruitment,0
1331,touch,0
1332,u,0
1333,current vacancy,0
1334,profile,0
1335,sale,0
1336,analytics,0
1337,product,0
1338,london,0
1339,home,0
1340,assignment,0
1341,monday friday,0
1342,hour,0
1343,role,0
1344,finpro team member,0
1345,uk,0
1346,insurance analytics projectshelp,0
1347,data strategy,1
1348,multiple source,0
1349,standard template,0
1350,basis,0
1351,various analytics benchmarking project,0
1352,thorough understanding,0
1353,businesscapture relevant data,1
1354,multiple platform,0
1355,tool,1
1356,rising insurtech company,0
1357,business,0
1358,rapidly growing business,0
1359,customer base,0
1360,ltv,0
1361,customer,0
1362,role,0
1363,marketing team,0
1364,greater understanding,0
1365,specific analytical project,0
1366,funnel optimisation,0
1367,kpis,0
1368,building,0
1369,accurately track marketing performance,1
1370,channel optimisation,0
1371,push,0
1372,crm,1
1373,ltv,0
1374,advert,0
1375,experience,0
1376,skill,0
1377,experience,0
1378,sql,1
1379,yearsgood communication skill,1
1380,experience,0
1381,number,0
1382,stakeholder,0
1383,story,0
1384,customer analytics project,0
1385,lifetime value,0
1386,acquisition strategy,0
1387,beneficialother experience,0
1388,experience,0
1389,data visualisation tool,1
1390,benefit,0
1391,successful candidate,0
1392,salary,0
1393,experience,0
1394,flexible work,0
1395,vibrant bright office culture,0
1396,interest,0
1397,cv,0
1398,noah stuckey,0
1399,apply link,0
1400,page,0
1401,key responsibility,0
1402,bespoke data set,1
1403,rfps analysing,0
1404,data request,1
1405,quality assurance,0
1406,position,0
1407,year,0
1408,asset management industry experience,1
1409,ideal candidate,0
1410,large set,0
1411,complex data,1
1412,pivot,0
1413,formula,0
1414,vba experience,0
1415,strong attention,0
1416,detail,0
1417,accuracy,0
1418,home based data reporting analyst,1
1419,experienced data reporting analyst,1
1420,team,0
1421,role,0
1422,company,0
1423,two uk office,0
1424,london,0
1425,bonus,0
1426,day annual leave,0
1427,many benefit,0
1428,fantastic opportunity,0
1429,passionate data reporting person,1
1430,large global firm,0
1431,duty,0
1432,insurance team,0
1433,area,0
1434,underwriting,0
1435,claim,0
1436,actuary,0
1437,data reporting requirement business analysis,1
1438,requirement,0
1439,gathering driving data quality,1
1440,data request effective reporting,1
1441,data quality,1
1442,experience,0
1443,ideally experience,0
1444,insurance sector,0
1445,ability,0
1446,sql,1
1447,power bi,1
1448,qlikview experience,1
1449,ability,0
1450,infographics,0
1451,data analyst manchester staff,1
1452,excellent opportunity,0
1453,data analyst,1
1454,leading client,0
1455,company,0
1456,period,0
1457,growth,0
1458,ambitious plan,0
1459,company,0
1460,total trust,0
1461,employee,0
1462,freedom,0
1463,job,0
1464,measurement strategy,0
1465,managing,0
1466,data source,1
1467,report,1
1468,different datasets,1
1469,statistical trend analysis,1
1470,web,0
1471,analytics data,1
1472,product stakeholder,0
1473,kpis,0
1474,design,0
1475,power,0
1476,wealth,0
1477,mixpanel,0
1478,google analytics,0
1479,google tag manager,0
1480,google ad,0
1481,hotjar,0
1482,excellent analytical skill,0
1483,experience,0
1484,good understanding,0
1485,web analytics,0
1486,good understanding,0
1487,business requirement,0
1488,proven track record,0
1489,customer acquisition campaign,0
1490,performance,1
1491,communication,1
1492,colleague,0
1493,different level,0
1494,advanced excel skill,1
1495,desirable skill,0
1496,experience,0
1497,tableau,1
1498,customer lifecycles,0
1499,insight,1
1500,strategy,0
1501,interest,0
1502,earth culture,0
1503,idea,0
1504,home,0
